state,year,type,office,juris,dist,url
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161201/d3/20161201_d3.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161201/d5/20161201_d5.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161201/d7/20161201_d7.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161201/d9/20161201_d9.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161201/d11/20161201_d11.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161201/20161201_neigh.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161128/summary.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161128/20161128_psov.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161128/d1/20161128_d1.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161128/d3/20161128_d3.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161128/d5/20161128_d5.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161128/d7/20161128_d7.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161128/d9/20161128_d9.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161128/d11/20161128_d11.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161128/20161128_neigh.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161123/summary.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161123/20161123_psov.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161123/d1/20161123_d1.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161123/d3/20161123_d3.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161123/d5/20161123_d5.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161123/d7/20161123_d7.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161123/d9/20161123_d9.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161123/d11/20161123_d11.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161123/20161123_neigh.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161122/summary.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161122/20161122_psov.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161122/d1/20161122_d1.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161122/d3/20161122_d3.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161122/d5/20161122_d5.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161122/d7/20161122_d7.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161122/d9/20161122_d9.pdf
CA,2016,general,,San Francisco,At_Large,https://sfelections.org/results/20161108/data/20161122/d11/20161122_d11.pdf
